(40.7102,-105.59)
(40.4617,-105.271)
(40.193,-104.983)
(39.9061,-104.727)
(39.6035,-104.505)
(39.2873,-104.319)
(38.96,-104.169)
(38.6241,-104.055)
(38.2818,-103.979)
(37.9359,-103.94)
(37.5886,-103.938)
(37.2424,-103.971)
(36.8997,-104.041)
(36.5628,-104.145)
(36.234,-104.282)
(35.9155,-104.452)
(35.6092,-104.652)
(35.3172,-104.881)
(35.0414,-105.137)
(34.7835,-105.418)
(34.5451,-105.723)
(34.3276,-106.049)
(34.1325,-106.394)
(33.9608,-106.755)
(33.8138,-107.132)
(33.6921,-107.52)
(33.5967,-107.919)
(33.528,-108.324)
(33.4864,-108.735)
(33.4723,-109.148)
(33.4856,-109.561)
(33.5264,-109.972)
(33.5943,-110.378)
(33.689,-110.777)
(33.8099,-111.165)
(33.9563,-111.542)
(34.1272,-111.904)
(34.3217,-112.25)
(34.5385,-112.576)
(34.7764,-112.882)
(35.0338,-113.164)
(35.3091,-113.421)
(35.6006,-113.65)
(35.9065,-113.851)
(36.2247,-114.021)
(36.5533,-114.16)
(36.8899,-114.265)
(37.2325,-114.335)
(37.5786,-114.37)
(37.9259,-114.369)
(38.2719,-114.331)
(38.6143,-114.255)
(38.9505,-114.143)
(39.2781,-113.994)
(39.5946,-113.809)
(39.8977,-113.588)
(40.185,-113.333)
(40.4542,-113.046)
(40.7034,-112.727)
(40.9304,-112.38)
(41.1334,-112.007)
(41.3107,-111.611)
(41.4609,-111.194)
(41.5827,-110.76)
(41.6751,-110.313)
(41.7373,-109.856)
(41.7688,-109.393)
(41.7692,-108.928)
(41.7387,-108.465)
(41.6774,-108.008)
(41.5858,-107.561)
(41.4648,-107.126)
(41.3154,-106.709)
(41.1388,-106.312)
(40.9365,-105.938)
(40.7102,-105.59)
